"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"批量添加用户名和钥匙测试用例","252863","test_add_alwaysusers_passcodes[test_user_003-5]","tests","Thu Jul 24 19:37:55 CST 2025","passed","Thu Jul 24 19:42:08 CST 2025","","test_add_access","",""
"WiFi固件升级测试用例","97309","test_wifi_firmware_ota_upgrade[2-3]","tests","Thu Jul 24 19:17:50 CST 2025","passed","Thu Jul 24 19:19:27 CST 2025","","test_ota","",""
"测试切换WiFi网络","70833","test_change_wifi[desloc_testingwifi_netgear-asdfgVCXZ]","tests","Thu Jul 24 18:49:09 CST 2025","passed","Thu Jul 24 18:50:20 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","269314","test_add_alwaysusers_passcodes[test_user_010-5]","tests","Thu Jul 24 20:09:17 CST 2025","passed","Thu Jul 24 20:13:46 CST 2025","","test_add_access","",""
"循环测试Vacation Mode开启和关闭","171815","test_vacation_mode_cycle[1]","tests","Thu Jul 24 21:22:36 CST 2025","passed","Thu Jul 24 21:25:27 CST 2025","","test_set_vacation_mode","",""
"测试切换WiFi网络","74181","test_change_wifi[desloc_testingwifi_google-ASDFGvcxz]","tests","Thu Jul 24 18:51:50 CST 2025","passed","Thu Jul 24 18:53:04 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","68023","test_change_wifi[desloc_testingwifi_TP-Link_wifi7-asdfgVCXZ]","tests","Thu Jul 24 18:33:42 CST 2025","passed","Thu Jul 24 18:34:51 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","260935","test_add_alwaysusers_passcodes[test_user_006-5]","tests","Thu Jul 24 19:50:53 CST 2025","passed","Thu Jul 24 19:55:14 CST 2025","","test_add_access","",""
"测试切换WiFi网络","225023","test_change_wifi[desloc_testingwifi_linksys-asdfgVCXZ]","tests","Thu Jul 24 19:00:06 CST 2025","broken","Thu Jul 24 19:03:51 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","69077","test_change_wifi[desloc_testingwifi_eero Guest-asdfgVCXZ]","tests","Thu Jul 24 18:58:47 CST 2025","passed","Thu Jul 24 18:59:56 CST 2025","","test_change_wifi","",""
"WiFi固件升级测试用例","97504","test_wifi_firmware_ota_upgrade[3-3]","tests","Thu Jul 24 19:19:37 CST 2025","passed","Thu Jul 24 19:21:14 CST 2025","","test_ota","",""
"批量添加用户名和钥匙测试用例","248858","test_add_alwaysusers_passcodes[test_user_004-5]","tests","Thu Jul 24 19:42:18 CST 2025","passed","Thu Jul 24 19:46:27 CST 2025","","test_add_access","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","426719","test_add_alwaysusers_passcodes_via_wifi[test_user_017-5]","tests","Thu Jul 24 20:51:13 CST 2025","passed","Thu Jul 24 20:58:20 CST 2025","","test_add_access","",""
"测试切换WiFi网络","74410","test_change_wifi[desloc_testingwifi_tplink IOT-asdfgVCXZ]","tests","Thu Jul 24 19:08:44 CST 2025","passed","Thu Jul 24 19:09:58 CST 2025","","test_change_wifi","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","410802","test_add_alwaysusers_passcodes_via_wifi[test_user_018-5]","tests","Thu Jul 24 20:58:30 CST 2025","passed","Thu Jul 24 21:05:20 CST 2025","","test_add_access","",""
"测试切换WiFi网络","69117","test_change_wifi[desloc_testingwifi_TPLink_w7G-]","tests","Thu Jul 24 18:38:11 CST 2025","passed","Thu Jul 24 18:39:20 CST 2025","","test_change_wifi","",""
"循环测试Passage Mode开启和关闭","215262","test_passage_mode_cycle[1]","tests","Thu Jul 24 21:15:45 CST 2025","passed","Thu Jul 24 21:19:20 CST 2025","","test_set_passage_mode","",""
"批量添加用户名和钥匙测试用例","246767","test_add_alwaysusers_passcodes[test_user_005-5]","tests","Thu Jul 24 19:46:37 CST 2025","passed","Thu Jul 24 19:50:43 CST 2025","","test_add_access","",""
"批量添加用户名和钥匙测试用例","263709","test_add_alwaysusers_passcodes[test_user_001-5]","tests","Thu Jul 24 19:28:45 CST 2025","passed","Thu Jul 24 19:33:08 CST 2025","","test_add_access","",""
"通过WiFi进行锁固件升级测试用例（关闭蓝牙）","27979","test_lock_firmware_ota_upgrade_via_wifi[3-3]","tests","Thu Jul 24 19:24:25 CST 2025","broken","Thu Jul 24 19:24:53 CST 2025","","test_ota","",""
"测试切换WiFi网络","226757","test_change_wifi[desloc_testingwifi eero-asdfgVCXZ]","tests","Thu Jul 24 18:54:50 CST 2025","broken","Thu Jul 24 18:58:36 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","259481","test_add_alwaysusers_passcodes[test_user_008-5]","tests","Thu Jul 24 19:59:47 CST 2025","passed","Thu Jul 24 20:04:06 CST 2025","","test_add_access","",""
"测试切换WiFi网络","85673","test_change_wifi[desloc_testingwifi_google Guest-asdfgVCXZ]","tests","Thu Jul 24 18:53:14 CST 2025","passed","Thu Jul 24 18:54:40 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","252572","test_add_alwaysusers_passcodes[test_user_007-5]","tests","Thu Jul 24 19:55:24 CST 2025","passed","Thu Jul 24 19:59:37 CST 2025","","test_add_access","",""
"批量添加用户名和钥匙测试用例","290330","test_add_alwaysusers_passcodes[test_user_009-5]","tests","Thu Jul 24 20:04:16 CST 2025","passed","Thu Jul 24 20:09:07 CST 2025","","test_add_access","",""
"锁固件升级测试用例","100618","test_lock_firmware_ota_upgrade[3-3]","tests","Thu Jul 24 19:13:59 CST 2025","passed","Thu Jul 24 19:15:39 CST 2025","","test_ota","",""
"批量添加用户名和钥匙测试用例","210885","test_add_alwaysusers_passcodes[Owner-4]","tests","Thu Jul 24 19:25:04 CST 2025","passed","Thu Jul 24 19:28:35 CST 2025","","test_add_access","",""
"循环测试Anti-peeping Passcode开启和关闭","209133","test_anti_peeping_passcode_cycle[0]","tests","Thu Jul 24 21:25:37 CST 2025","passed","Thu Jul 24 21:29:07 CST 2025","","test_set_anti_peeping_passcode","",""
"WiFi固件升级测试用例","110281","test_wifi_firmware_ota_upgrade[1-3]","tests","Thu Jul 24 19:15:49 CST 2025","passed","Thu Jul 24 19:17:40 CST 2025","","test_ota","",""
"测试修改设备名称","40777","test_rename_device","tests","Thu Jul 24 18:32:52 CST 2025","passed","Thu Jul 24 18:33:32 CST 2025","","test_rename_device","",""
"测试切换WiFi网络","104949","test_change_wifi[desloc_testingwifi_eero remote-asdfgVCXZ]","tests","Thu Jul 24 18:40:49 CST 2025","passed","Thu Jul 24 18:42:34 CST 2025","","test_change_wifi","",""
"循环测试Passage Mode开启和关闭","177325","test_passage_mode_cycle[0]","tests","Thu Jul 24 21:12:37 CST 2025","failed","Thu Jul 24 21:15:34 CST 2025","","test_set_passage_mode","",""
"测试切换WiFi网络","189828","test_change_wifi[\U0001f4f6\u6d4b\u0628\u03b1"" !$%&')*,/:=>?@[\\^|~-S3cur3P@ss_!#$%&'()*+,-./:;<=>?@[\\]^_{|}~ABCxyz123XYZ789!@#]","tests","Thu Jul 24 18:42:44 CST 2025","passed","Thu Jul 24 18:45:54 CST 2025","","test_change_wifi","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","421822","test_add_alwaysusers_passcodes_via_wifi[test_user_015-5]","tests","Thu Jul 24 20:37:08 CST 2025","passed","Thu Jul 24 20:44:10 CST 2025","","test_add_access","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","263087","test_add_alwaysusers_passcodes_via_wifi[test_user_011-5]","tests","Thu Jul 24 20:14:00 CST 2025","passed","Thu Jul 24 20:18:23 CST 2025","","test_add_access","",""
"测试切换WiFi网络","98096","test_change_wifi[desloc_testingwifi_tenda-asdfgVCXZ]","tests","Thu Jul 24 19:05:36 CST 2025","passed","Thu Jul 24 19:07:14 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","69499","test_change_wifi[desloc_testingwifi_tplink-asdfgVCXZ]","tests","Thu Jul 24 19:07:24 CST 2025","passed","Thu Jul 24 19:08:34 CST 2025","","test_change_wifi","",""
"循环测试Anti-peeping Passcode开启和关闭","173393","test_anti_peeping_passcode_cycle[1]","tests","Thu Jul 24 21:29:17 CST 2025","passed","Thu Jul 24 21:32:10 CST 2025","","test_set_anti_peeping_passcode","",""
"锁固件升级测试用例","181537","test_lock_firmware_ota_upgrade[2-3]","tests","Thu Jul 24 19:10:47 CST 2025","passed","Thu Jul 24 19:13:49 CST 2025","","test_ota","",""
"锁固件升级测试用例","28474","test_lock_firmware_ota_upgrade[1-3]","tests","Thu Jul 24 19:10:08 CST 2025","broken","Thu Jul 24 19:10:37 CST 2025","","test_ota","",""
"批量添加用户名和钥匙测试用例","266340","test_add_alwaysusers_passcodes[test_user_002-5]","tests","Thu Jul 24 19:33:18 CST 2025","passed","Thu Jul 24 19:37:45 CST 2025","","test_add_access","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","417948","test_add_alwaysusers_passcodes_via_wifi[test_user_014-5]","tests","Thu Jul 24 20:30:00 CST 2025","passed","Thu Jul 24 20:36:58 CST 2025","","test_add_access","",""
"通过WiFi进行锁固件升级测试用例（关闭蓝牙）","27785","test_lock_firmware_ota_upgrade_via_wifi[1-3]","tests","Thu Jul 24 19:21:29 CST 2025","broken","Thu Jul 24 19:21:56 CST 2025","","test_ota","",""
"设置防劫持邮箱测试","35186","test_set_anti_hijacking_email","tests","Thu Jul 24 21:33:45 CST 2025","passed","Thu Jul 24 21:34:20 CST 2025","","test_set_anti_hijacking_assign","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","416672","test_add_alwaysusers_passcodes_via_wifi[test_user_019-5]","tests","Thu Jul 24 21:05:30 CST 2025","passed","Thu Jul 24 21:12:27 CST 2025","","test_add_access","",""
"测试切换WiFi网络","68849","test_change_wifi[desloc_testingwifi_asus-asdfgVCXZ]","tests","Thu Jul 24 18:39:30 CST 2025","passed","Thu Jul 24 18:40:39 CST 2025","","test_change_wifi","",""
