"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试切换WiFi网络","81246","test_change_wifi[desloc_testingwifi_TPLink_w7MLO-asdfgVCXZ]","tests","Mon Jul 21 16:52:59 CST 2025","passed","Mon Jul 21 16:54:21 CST 2025","","test_change_wifi","",""
"循环测试Anti-peeping Passcode开启和关闭","172276","test_anti_peeping_passcode_cycle[1]","tests","Mon Jul 21 19:46:46 CST 2025","passed","Mon Jul 21 19:49:38 CST 2025","","test_set_anti_peeping_passcode","",""
"测试切换WiFi网络","71583","test_change_wifi[desloc_testingwifi_asus Guest-asdfgVCXZ]","tests","Mon Jul 21 17:05:28 CST 2025","passed","Mon Jul 21 17:06:40 CST 2025","","test_change_wifi","",""
"WiFi固件升级测试用例","87426","test_wifi_firmware_ota_upgrade[1-3]","tests","Mon Jul 21 17:23:32 CST 2025","passed","Mon Jul 21 17:24:59 CST 2025","","test_ota","",""
"测试切换WiFi网络","101910","test_change_wifi[desloc_testingwifi_TPLink_iot7-asdfgVCXZ]","tests","Mon Jul 21 16:54:31 CST 2025","passed","Mon Jul 21 16:56:12 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","64855","test_change_wifi[desloc_testingwifi eero-asdfgVCXZ]","tests","Mon Jul 21 17:09:37 CST 2025","passed","Mon Jul 21 17:10:42 CST 2025","","test_change_wifi","",""
"锁固件升级测试用例","81338","test_lock_firmware_ota_upgrade[2-3]","tests","Mon Jul 21 17:20:26 CST 2025","passed","Mon Jul 21 17:21:47 CST 2025","","test_ota","",""
"批量添加用户名和钥匙测试用例","275416","test_add_alwaysusers_passcodes[test_user_006-5]","tests","Mon Jul 21 18:02:50 CST 2025","passed","Mon Jul 21 18:07:25 CST 2025","","test_add_access","",""
"测试切换WiFi网络","66780","test_change_wifi[desloc_testingwifi_tplink-asdfgVCXZ]","tests","Mon Jul 21 17:16:18 CST 2025","passed","Mon Jul 21 17:17:25 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","75391","test_change_wifi[\U0001f4f6\u6d4b\u0628\u03b1"" !$%&')*,/:=>?@[\\^|~-S3cur3P@ss_!#$%&'()*+,-./:;<=>?@[\\]^_{|}~ABCxyz123XYZ789!@#]","tests","Mon Jul 21 17:00:16 CST 2025","passed","Mon Jul 21 17:01:32 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","310624","test_add_alwaysusers_passcodes[test_user_008-5]","tests","Mon Jul 21 18:12:52 CST 2025","passed","Mon Jul 21 18:18:03 CST 2025","","test_add_access","",""
"批量添加用户名和钥匙测试用例","276406","test_add_alwaysusers_passcodes[test_user_004-5]","tests","Mon Jul 21 17:53:17 CST 2025","passed","Mon Jul 21 17:57:53 CST 2025","","test_add_access","",""
"测试修改设备名称","38083","test_rename_device","tests","Mon Jul 21 16:50:56 CST 2025","passed","Mon Jul 21 16:51:34 CST 2025","","test_rename_device","",""
"测试切换WiFi网络","63655","test_change_wifi[desloc_testingwifi_tenda Guest-]","tests","Mon Jul 21 17:01:42 CST 2025","passed","Mon Jul 21 17:02:45 CST 2025","","test_change_wifi","",""
"测试设置防劫持密码","74389","test_set_anti_hijacking_passcode","tests","Mon Jul 21 19:49:48 CST 2025","failed","Mon Jul 21 19:51:03 CST 2025","","test_set_anti_hijacking_assign","",""
"测试切换WiFi网络","69768","test_change_wifi[desloc_testingwifi_netgear Guest-asdfgVCXZ]","tests","Mon Jul 21 17:13:44 CST 2025","passed","Mon Jul 21 17:14:54 CST 2025","","test_change_wifi","",""
"循环测试Anti-peeping Passcode开启和关闭","204199","test_anti_peeping_passcode_cycle[0]","tests","Mon Jul 21 19:43:12 CST 2025","passed","Mon Jul 21 19:46:36 CST 2025","","test_set_anti_peeping_passcode","",""
"测试切换WiFi网络","74487","test_change_wifi[desloc_testingwifi_google Guest-asdfgVCXZ]","tests","Mon Jul 21 17:08:12 CST 2025","passed","Mon Jul 21 17:09:27 CST 2025","","test_change_wifi","",""
"循环测试Passage Mode开启和关闭","178783","test_passage_mode_cycle[0]","tests","Mon Jul 21 19:33:03 CST 2025","passed","Mon Jul 21 19:36:02 CST 2025","","test_set_passage_mode","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","406021","test_add_alwaysusers_passcodes_via_wifi[test_user_017-5]","tests","Mon Jul 21 19:11:39 CST 2025","passed","Mon Jul 21 19:18:25 CST 2025","","test_add_access","",""
"批量添加用户名和钥匙测试用例","296986","test_add_alwaysusers_passcodes[test_user_009-5]","tests","Mon Jul 21 18:18:13 CST 2025","passed","Mon Jul 21 18:23:10 CST 2025","","test_add_access","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","419051","test_add_alwaysusers_passcodes_via_wifi[test_user_015-5]","tests","Mon Jul 21 18:57:34 CST 2025","passed","Mon Jul 21 19:04:33 CST 2025","","test_add_access","",""
"锁固件升级测试用例","88073","test_lock_firmware_ota_upgrade[1-3]","tests","Mon Jul 21 17:18:48 CST 2025","passed","Mon Jul 21 17:20:16 CST 2025","","test_ota","",""
"测试切换WiFi网络","63712","test_change_wifi[desloc_testingwifi_tplink Guest-]","tests","Mon Jul 21 17:02:55 CST 2025","passed","Mon Jul 21 17:03:59 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","315946","test_add_alwaysusers_passcodes[test_user_010-5]","tests","Mon Jul 21 18:23:20 CST 2025","passed","Mon Jul 21 18:28:36 CST 2025","","test_add_access","",""
"设置防劫持邮箱测试","35885","test_set_anti_hijacking_email","tests","Mon Jul 21 19:51:13 CST 2025","passed","Mon Jul 21 19:51:49 CST 2025","","test_set_anti_hijacking_assign","",""
"通过WiFi进行锁固件升级测试用例（关闭蓝牙）","128353","test_lock_firmware_ota_upgrade_via_wifi[3-3]","tests","Mon Jul 21 17:33:08 CST 2025","passed","Mon Jul 21 17:35:16 CST 2025","","test_ota","",""
"批量添加用户名和钥匙测试用例","222660","test_add_alwaysusers_passcodes[Owner-4]","tests","Mon Jul 21 17:35:26 CST 2025","passed","Mon Jul 21 17:39:09 CST 2025","","test_add_access","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","415023","test_add_alwaysusers_passcodes_via_wifi[test_user_019-5]","tests","Mon Jul 21 19:25:58 CST 2025","passed","Mon Jul 21 19:32:53 CST 2025","","test_add_access","",""
"测试切换WiFi网络","62667","test_change_wifi[desloc_testingwifi_tplink IOT-asdfgVCXZ]","tests","Mon Jul 21 17:17:35 CST 2025","passed","Mon Jul 21 17:18:38 CST 2025","","test_change_wifi","",""
"通过WiFi进行锁固件升级测试用例（关闭蓝牙）","128383","test_lock_firmware_ota_upgrade_via_wifi[1-3]","tests","Mon Jul 21 17:28:30 CST 2025","passed","Mon Jul 21 17:30:39 CST 2025","","test_ota","",""
"批量添加用户名和钥匙测试用例","276655","test_add_alwaysusers_passcodes[test_user_005-5]","tests","Mon Jul 21 17:58:03 CST 2025","passed","Mon Jul 21 18:02:40 CST 2025","","test_add_access","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","426388","test_add_alwaysusers_passcodes_via_wifi[test_user_011-5]","tests","Mon Jul 21 18:28:50 CST 2025","passed","Mon Jul 21 18:35:56 CST 2025","","test_add_access","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","399769","test_add_alwaysusers_passcodes_via_wifi[test_user_013-5]","tests","Mon Jul 21 18:43:29 CST 2025","passed","Mon Jul 21 18:50:09 CST 2025","","test_add_access","",""
"测试手动输入方式添加设备","86945","test_add_device_manual","tests","Mon Jul 21 16:49:19 CST 2025","passed","Mon Jul 21 16:50:46 CST 2025","","test_add_device","",""
"测试切换WiFi网络","63711","test_change_wifi[desloc_testingwifi_asus-asdfgVCXZ]","tests","Mon Jul 21 16:57:44 CST 2025","passed","Mon Jul 21 16:58:47 CST 2025","","test_change_wifi","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","432811","test_add_alwaysusers_passcodes_via_wifi[test_user_012-5]","tests","Mon Jul 21 18:36:06 CST 2025","passed","Mon Jul 21 18:43:19 CST 2025","","test_add_access","",""
"批量添加用户名和钥匙测试用例","272625","test_add_alwaysusers_passcodes[test_user_003-5]","tests","Mon Jul 21 17:48:34 CST 2025","passed","Mon Jul 21 17:53:07 CST 2025","","test_add_access","",""
"测试切换WiFi网络","72758","test_change_wifi[desloc_testingwifi_google-ASDFGvcxz]","tests","Mon Jul 21 17:06:50 CST 2025","passed","Mon Jul 21 17:08:02 CST 2025","","test_change_wifi","",""
"循环测试Vacation Mode开启和关闭","174866","test_vacation_mode_cycle[0]","tests","Mon Jul 21 19:36:41 CST 2025","passed","Mon Jul 21 19:39:36 CST 2025","","test_set_vacation_mode","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","406348","test_add_alwaysusers_passcodes_via_wifi[test_user_016-5]","tests","Mon Jul 21 19:04:43 CST 2025","passed","Mon Jul 21 19:11:29 CST 2025","","test_add_access","",""
"锁固件升级测试用例","84537","test_lock_firmware_ota_upgrade[3-3]","tests","Mon Jul 21 17:21:57 CST 2025","passed","Mon Jul 21 17:23:22 CST 2025","","test_ota","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","433236","test_add_alwaysusers_passcodes_via_wifi[test_user_018-5]","tests","Mon Jul 21 19:18:35 CST 2025","passed","Mon Jul 21 19:25:48 CST 2025","","test_add_access","",""
"测试切换WiFi网络","64028","test_change_wifi[desloc_testingwifi_tenda-asdfgVCXZ]","tests","Mon Jul 21 17:15:04 CST 2025","passed","Mon Jul 21 17:16:08 CST 2025","","test_change_wifi","",""
"WiFi固件升级测试用例","87043","test_wifi_firmware_ota_upgrade[3-3]","tests","Mon Jul 21 17:26:49 CST 2025","passed","Mon Jul 21 17:28:16 CST 2025","","test_ota","",""
"批量添加用户名和钥匙测试用例","279406","test_add_alwaysusers_passcodes[test_user_001-5]","tests","Mon Jul 21 17:39:19 CST 2025","passed","Mon Jul 21 17:43:58 CST 2025","","test_add_access","",""
"测试切换WiFi网络","84466","test_change_wifi[desloc_testingwifi_eero Guest-asdfgVCXZ]","tests","Mon Jul 21 17:10:52 CST 2025","passed","Mon Jul 21 17:12:16 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","306913","test_add_alwaysusers_passcodes[test_user_007-5]","tests","Mon Jul 21 18:07:35 CST 2025","passed","Mon Jul 21 18:12:42 CST 2025","","test_add_access","",""
